Sentence,Type
In the fall of the same year Kuttenberg was the scene of horrible atrocities.,2
"The young emerge from the cocoon in the early spring, grow through the summer, and reach maturity in the early fall.",2
"Conrad returned to Constantinople in the fall of 1148, and Louis VII.",2
It was thus as king of Jerusalem that Frederick began his Crusade in the fall of 1227.,2
"He left Paris for Spain in the fall of 1535, leaving Faber in charge of his companions to finish their studies.",2
By the fall of 1921 conditions for work were improving.,2
By the fall Louis was in Italy and expelled Lodovico Sforza from the Milanese.,2
"The fall months, particularly October and November, are those in which such storms most frequently occur.",2
He began his political career at the diet which assembled in the fall of the same year.,2
In the fall of 1765 he escorted to Italy the son of a Mr Taylor.,2
"This procrastinating policy played into the hands of the extremists; for supplies had not been voted, and the question of the credits for the expenditure incurred in connexion with the annexation of Bosnia and Herzegovina, increasingly urgent, placed a powerful weapon in the hands of the Magyars, and made it certain that in the fall the crisis would assume an even more acute form.",2
"Too tired to fight her tears anymore, she let them fall and stood shaking on the rooftop.",1
Snow had begun to fall again and clung to the scout.s clothing.,1
"He stared into the dark night, watching the snow fall.",1
"She grabbed at one of them, then let it fall.",1
"When the suns fall into night, I'll speak to dhjan A'Ran over the communicator.",1
Their confidence in him would fall further.,1
"While helmets provide little protection in a serious fall, they're a must to shield you from junk dropped or dislodged from above you.",1
"A typical year saw four hundred inches of snow fall atop Red Mountain, a hundred and seventy-five inches in Ouray, and perhaps a foot in Montrose, all within fifty miles.",1
"The snow continued to fall as Dean pulled in front of Bird Song, angled his Jeep as best he could in the drifts, and climbed to the porch.",1
Maybe he bounced on some of that snow and it broke his fall.,1
"Then Fred asked, ""What did she have to say about Shipton's fall when the two of you drove to the airport?""",1
I'll be sixty in the fall.,2
Dean hadn't been in the vicinity of Shipton's fall.,1
Fred's life was a mystery in some respects but he was honest and his report of Cynthia after Shipton's fall was certainly not a fabrication.,1
He must have seen his stepfather fall.,1
"Fall gave way to winter, turning the air cold and arid.",2
He will have a blanket of red each fall.,2
Did he think she was going to fall into his arms?,1
"The kid tried to get up, but it wasn't strong enough - or was it injured in the fall?",1
"Unwittingly, she had set Alex up for a fall.",1
"You don't really think we'll survive the fall, do you? she asked in a hushed voice.",1
"Brady, we're going to fall.",1
She'd watched the laser missiles fall around her micro for almost an hour.,1
Be careful you don't fall.,1
It isn't the fall that kills you.,1
I dislocated the shoulder in a fall.,1
He died in the fall … or afterward.,1
You have to let it fall.,1
"As the whip continued and reached the peak of its arch, he let it fall again, whipping more grass with the other side of the blade.",1
